id,user_id,name,description,created_date
1,1,Cinematic Soundtracks,Epic film scores and cinematic tracks.,2024-03-01
2,1,Rap Rock Fusion,Powerful mashups from rap rock collaborations.,2024-03-01
3,2,Nu Metal Essentials,Hard-hitting nu metal tracks from Hybrid Theory.,2024-03-01
4,2,K-Pop Vibes,Catchy K-pop hits from 12:00 and K by Heejin.,2024-03-01
5,3,Pop Perfection,Smooth and catchy pop tunes from Twice (Eyes Wide Open).,2024-03-01
6,3,Alternative Rock Classics,Iconic alternative rock tracks from My Chemical Romance.,2024-03-01
7,4,Electro-Industrial Mix,Energetic electronic and industrial beats from Matrix Reloaded.,2024-03-01
8,4,Indie Moods,Laid-back indie vibes from Yves (I Did).,2024-03-01
9,5,Heavy Anthems,Loud and powerful rock anthemsy.,2024-03-01
10,5,Ultimate Mashups,A mix of eclectic tracks and unexpected genre fusions.,2024-03-01
11,6,Cinematic Soundtracks Vol.2,More epic film scores and cinematic tunes.,2024-03-01
12,6,Rap Rock Fusion Vol.2,Another round of dynamic rap rock collaborations.,2024-03-01
13,7,Nu Metal Essentials Vol.2,More nu metal energy from classic albums.,2024-03-01
14,7,K-Pop Vibes Vol.2,Fresh K-pop hits to get you moving.,2024-03-01
15,8,Pop Perfection Vol.2,More smooth pop tracks to brighten your day.,2024-03-01
16,8,Alternative Rock Classics Vol.2,Additional timeless alternative rock tracks.,2024-03-01
17,9,Electro-Industrial Mix Vol.2,A second dose of electronic and industrial beats.,2024-03-01
18,9,Indie Moods Vol.2,Another collection of relaxing indie tunes.,2024-03-01
19,10,Heavy Anthems Vol.2,More heavy-hitting rock anthems for the soul.,2024-03-01
20,10,Ultimate Mashups Vol.2,An even more eclectic mix of genre-blending tracks.,2024-03-01